uid,count,oneMeans,bestMeans,diff,logCount
130697,39,0.8,0.8,0,3.68887945411394
130698,37,1,1,0,3.63758615972639
130699,76,0.785714285714286,0.785714285714286,0,4.34380542185368
130700,15,1,1,0,2.77258872223978
130704,11,1,1,0,2.484906649788
130707,101,0.8,0.8,0,4.62497281328427
130709,181,0.5,0.611111111111111,0.111111111111111,5.2040066870768
130710,44,0.75,0.75,0,3.80666248977032
130712,137,0.733333333333333,0.733333333333333,0,4.92725368515721
130714,38,0.5,0.5,0,3.66356164612965
130717,64,0.5,0.5,0,4.17438726989564
130719,53,0.8,0.8,0,3.98898404656427
130720,20,1,1,0,3.04452243772342
130721,1307,0.627906976744186,0.674418604651163,0.0465116279069767,7.17625453201714
130723,184,0.625,0.75,0.125,5.22035582507832
130724,75,0.9,0.9,0,4.33073334028633
130726,47,0.666666666666667,0.666666666666667,0,3.87120101090789
130727,30,1,1,0,3.43398720448515
130729,48,1,1,0,3.89182029811063
130732,36,0.571428571428571,0.571428571428571,0,3.61091791264422
130736,63,0.666666666666667,0.666666666666667,0,4.15888308335967
130737,48,0.833333333333333,0.833333333333333,0,3.89182029811063
130739,183,0.833333333333333,0.833333333333333,0,5.21493575760899
130743,64,0.714285714285714,0.714285714285714,0,4.17438726989564
130745,17,1,1,0,2.89037175789616
130746,74,0.571428571428571,0.571428571428571,0,4.31748811353631
130748,73,0.857142857142857,0.857142857142857,0,4.30406509320417
130749,44,1,1,0,3.80666248977032
130750,508,0.644067796610169,0.745762711864407,0.101694915254237,6.23244801655052
130754,6,1,1,0,1.94591014905531
130757,1658,0.568862275449102,0.586826347305389,0.0179640718562873,7.41397029019044
130759,26,1,1,0,3.29583686600433
130760,194,0.583333333333333,0.583333333333333,0,5.27299955856375
130761,48,0.875,0.875,0,3.89182029811063
130763,40,0.857142857142857,0.857142857142857,0,3.71357206670431
130764,55,0.666666666666667,0.666666666666667,0,4.02535169073515
130765,73,1,0.75,-0.25,4.30406509320417
130766,9,1,1,0,2.30258509299405
130769,77,1,1,0,4.35670882668959
130772,108,0.888888888888889,0.888888888888889,0,4.69134788222914
130773,44,0.5,0.5,0,3.80666248977032
130774,17,0.5,0.5,0,2.89037175789616
130776,65,1,1,0,4.18965474202643
130778,31,0.666666666666667,0.666666666666667,0,3.46573590279973
130782,33,0.5,0.5,0,3.52636052461616
130783,30,0.666666666666667,0.666666666666667,0,3.43398720448515
